Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
1708000,,,,1708155,Copper Gear -75Teeth,Pcs,17,,,,,,,,,,
,,,,1708029,Worm Gear-75Teeth,Pcs,2,,,,,,,TTML,,,
,,,,1708021,Spar Gear-66Teeth,Pcs,2,,,,,,,TTML,,,
,,,,1708147,Spar Gear- 37Teeth,Pcs,3,,,,,,,TTML,,,
,,,,1708.14,Spar Gear- 21Teeth,Pcs,3,,,,,,,TTML,,,
,,,,1708048,Double Spoket wheel -35Teeth,Pcs,1,,,,,,,TTML,,,
,,,,1708025,Spoket wheel -28,Pcs,3,P/N-900000317266,,,,,,TTML,,,
,,,,1708114,V pully 4Group,Pcs,1,,,,,,,TTML,,,
,,,,1708087,Spoket Double wheel -34T,Pcs,2,,,,,,,TTML,,,
,,,,1708026,Spoket Single  wheel -41T(p-900000317626,Pcs,1,(p-900000317626,,,,,,TTML,,,
,,,,1708089,Double Spoket wheel -69Teeth,Pcs,1,,,,,,,TTML,,,
,,,,1708137,Double Spoket wheel -20Teeth,Pcs,1,,,,,,,TTML,,,
,,,,1708.138,Single Spoket wheel - 23,Pcs,1,,,,,,,TTML,,,
,,,,1708122,Clutch Plate- Dia-110mm,Pcs,2,,,,,,,TTML,,,
,,,,1708033,Coupling (P/N- 035081760000),Pcs,2,(P/N- 035081760000),,,,,,TTML,,,
,,,,1708110,Spike Pin,Pcs,277,,,,,,,TTML,,,
,,,,1704053,Air Seal (Size-100x83x8mm),Pcs,16,,,,,,,TTML,,,
,,,,1708078,PIV Drive Gear Box.,Pcs,1,P/N-035081761200,,,,,,TTML,,,
,,,,1708129,Better For RN,Pcs,2,P/N-908700143005,,,,,,TTML,,,
,,,,1708078,Better For RN,Pcs,30,P/N-908700143001,,,,,,TTML,,,
,,,,1708079,Middle Ring ,Pcs,1,P/N-937500119014,,,,,,TTML,,,
1800000,,,,1804041,Varalor Motor,Pcs,1,P/N-037181770061 0.37kw 1380RPM,,,,,,TTML,,,
,,,,1702122,AVF Leqe Brand  Belt,Pcs,2,,,,,,,TTML,,,
,,,,1708127,Middle Guide Bar,set,1,P/N-907007700002,,,,,,TTML,,,
,,,,1708126,Guide Bar,Pcs,26,P/N-90610773002,,,,,,TTML,,,
,,,,207026,Nylon Shaft-2''x2',Lbs,3.64,,,,,,,TTML,,,
1700000,,,,1708131,Guide Bar,Pcs,1,P/N-908707703015,,,,,,TTML,,,
,,,,1708044,M.S. Helical Gear-49T,Pcs,1,,,,,,,TTML,,,
,,,,1708015,Double Chine Lock,Pcs,10,,,,,,,TTML,,,
,,,,1708139,Helical Gear -24T,Pcs,2,,,,,,,TTML,,,
,,,,1708045,M.S. Helical Gear-28T,Pcs,1,,,,,,,TTML,,,
,,,,1708096,Fiber worn Gear-55T,Pcs,2,,,,,,,TTML,,,
,,,,1708097,Brass Warm Gear -21,Pcs,2,,,,,,,TTML,,,
,,,,1708116,Helical Spring -Dia-15.22.L-27mm,Pcs,10,,,,,,,TTML,,,
,,,,1708092,TC Connector-6x6x6mm,Pcs,3,P/N-03508182311D,,,,,,TTML,,,
,,,,1708098,Worm Gear-5T 9D Dia-1.0mm,Pcs,2,,,,,,,TTML,,,
,,,,1708043,Pressure Spring ,Pcs,2,P/N-02508181006,,,,,,TTML,,,
,,,,1708034,Volk Rollar Insert,Pcs,3,P/N-03581760404,,,,,,TTML,,,
,,,,1708099,Poly Carbonet Glass ,Pcs,1,,,,,,,TTML,,,
,,,,1707057,Canvas Cloth ,yard,12,,,,,,,TTML,,,
,,,,1708157,Pneumatic Spring ,Pcs,2,P/N-035081810506,,,,,,TTML,,,
,,,,1708160,Pneumatic Spring ,Pcs,1,P/N-035081810509,,,,,,TTML,,,
,,,,1708156,Pneumatic Spring ,Pcs,2,P/N-035081810505,,,,,,TTML,,,
,,,,1708028,Double Spoket wheel -23Tx 5/8'',Pcs,1,,,,,,,TTML,,,
,,,,1708022,Single Spoket wheel-15T,Pcs,3,P/N-900900817005,,,,,,TTML,,,
,,,,1708019,Tapper Lock Bush-25x7x40mm,Pcs,2,P/N-035081572059,,,,,,TTML,,,
,,,,1708020,Super Gear-31T,Pcs,2,P/N-908700312001,,,,,,TTML,,,
,,,,1708049,Cylendes for,Pcs,1,(P/N-035094820801),,,,,,TTML,,,
,,,,1708093,Teeth Assy For SME,Pcs,1,P/N-918505025058,,,,,,TTML,,,
,,,,1708158,Spike Wooden Legs for SME,Pcs,3,P/N-035081572059,,,,,,TTML,,,
,,,,1708159,Rubber Conveyor Belt RSK1600,Pcs,1,P/N-037181271137,,,,,,TTML,,,
,,,,1708161,Leather Ring-480x468x15mm,Pcs,2,P/N-035081220604,,,,,,TTML,,,
,,,,1708055,Spark kit for Valve,set,2,P/N-035094820670,,,,,,TTML,,,
,,,,1708077,Spare Kit for Cylender,set,2,P/N-035094820056,,,,,,TTML,,,
,,,,1708162,Spare Kit for Cylender,Pcs,1,P/N-03508820070,,,,,,TTML,,,
,,,,1708106,Rubber washer (Big) -48x62x8mm,Pcs,8,,,,,,,TTML,,,
,,,,1708016,Non Return Valve SME M-22,Pcs,5,P/N-035081820660,,,,,,TTML,,,
,,,,1708069,Way Valve NW 3/2,Pcs,3,P/N-035081820612,,,,,,TTML,,,
,,,,1708068,Choke Check Valve M-14,Pcs,2,P/N-035081820670,,,,,,TTML,,,
,,,,1708070,Way Valve NW 3/2,Pcs,1,P/N-035081820611,,,,,,TTML,,,
,,,,1708105,Plastic Ring -26x18,Pcs,40,,,,,,,TTML,,,
,,,,1708007,Plastic Ring for Solonide Valve,Pcs,52,,,,,,,TTML,,,
,,,,1708142,Rubber gasket -17x20x205mm,Pcs,3,,,,,,,TTML,,,
,,,,1708006,Fiber Ring- 86x69x13mm,Pcs,7,,,,,,,TTML,,,
,,,,1708083,MPM 8 Gang Valve,Pcs,1,P/N-033094820804,,,,,,TTML,,,
,,,,1708038,Plastic Ring for Solonide Valve-13x16,Pcs,85,,,,,,,TTML,,,
,,,,913001,Grease Nipple for Bearing House-8mm,Pcs,10,,,,,,,TTML,,,
,,,,1708013,Nylon Capling ,Pcs,10,,,,,,,TTML,,,
,,,,1708075,Filter R ,Pcs,1,p/N-035081821240),,,,,,TTML,,,
,,,,1708076,Oiler R 1/2,Pcs,1,,,,,,,TTML,,,
,,,,1826059,Presser Gauge ,Pcs,1,,,,,,,TTML,,,
,,,,1708054,Spare Kit for Valve,set,1,P/N-35094820680,,,,,,TTML,,,
,,,,1708056,Spare Kit for Valve,Pcs,1,P/N-0350948200660,,,,,,TTML,,,
,,,,1708059,Spare Kit for Valve,Set,2,P/N-035094820612,,,,,,TTML,,,
,,,,1704032,O'' Ring(size-15.5x20.5mm),Pcs,10,,,,,,,TTML,,,
,,,,1708062,Spare Kit for Valve,set,2,P/N-035094820510,,,,,,TTML,,,
,,,,1708061,Solonide kit for Valve ,set,1,P/N-035094820533,,,,,,TTML,,,
,,,,1708060,Slar kit for Valve ,set,1,P/N-035094820611,,,,,,TTML,,,
,,,,,Spiked Latice for Trutzschler GBR,Pcs,1,P/N- 902301500010,,,,,,TTML,,,
,,,,1702384,V-Belt (Size- XPB-3000LW,Pcs,1,,,,,,,TTML,,,
,,,,1702385,V-Belt (Size- XPB-2240LW,Pcs,1,,,,,,,TTML,,,
,,,,1702387,V-Belt (Size- XPA-1632LW,Pcs,1,,,,,,,TTML,,,
,,,,1702369,V-Belt (Size- XPA-1750LW,Pcs,2,,,,,,,TTML,,,
,,,,1702388,V-Belt (Size- XPA-1550LW,pcs,1,,,,,,,TTML,,,
,,,,,V-Belt (Size- XPA-1600LW,Pcs,1,,,,,,,TTML,,,
,,,,172333,V-Belt (Size- XPA-2310LW,Pcs,1,,,,,,,TTML,,,
,,,,,V-Belt (Size- XPA-1460LW,Pcs,1,,,,,,,TTML,,,
,,,,1702298,V-Belt (Size- XPA-1700LW,Pcs,1,,,,,,,TTML,,,
,,,,1702186,V-Belt (Size- XPB-1800LW,Pcs,1,,,,,,,TTML,,,
,,,,172390,Timing Belt- 600x8mm,Pcs,1,P/N-035081755801,,,,,,TTML,,,
,,,,172389,Timing Belt- 1600x8Mx30mm,Pcs,1,,,,,,,TTML,,,
,,,,1702391,Timing Belt- 800xD8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,1702392,Timing Belt- 720xD8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,172336,Timing Belt- 1760x8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,172348,Timing Belt- 1040x8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,172393,Flat Belt- 808x20Mx1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,1702394,Flat Belt- 920x10Mx1.8mm,Pcs,1,,,,,,,TTML,,,
,,,,1702395,Flat Belt- 1530x8Mx1.8mm,Pcs,1,,,,,,,TTML,,,
,,,,,Metal Rope SL-86,Pcs,1,,,,,,,TTML,,,
,,,,1702396,Timing Belt- 1270xD5mx15mm,Pcs,1,,,,,,,TTML,,,
,,,,1702397,Timing Belt- 1200xD8mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,1702398,Timing Belt- 700xD5mx15mm,Pcs,1,,,,,,,TTML,,,
,,,,1702399,Timing Belt- 1120x8mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,1703400,Timing Belt- 1520x8mx20mm,Pcs,2,,,,,,,TTML,,,
,,,,1702338,V- Belt - XPA-2310,Pcs,1,,,,,,,TTML,,,
,,,,1702401,Flat Belt-1465x15x2mm,Pcs,1,,,,,,,TTML,,,
,,,,1702402,Flat Belt-1014x20x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,1702403,Flat Belt-550x15x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,,Metal Rop SL-42,Pcs,1,,,,,,,TTML,,,
,,,,,Droffer wire N-4030BX0.9-B,set ,5,,,,,,,TTML,,,
,,,,,Droffer wire TC11 (Graf),,,,,,,,,TTML,,,
,,,,,Droffer wire (MKS) Geron,set ,1,,,,,,,TTML,,,
,,,,,Licker in wire (Brusas) MK5C/D,kg,24,,,,,,,TTML,,,
,,,,,Licker in wire (Brusas) MK5C/D,kg,24,,,,,,,TTML,,,
,,,,,Droffer wire MK5  C/D Brujas,kg,24,,,,,,,TTML,,,
,,,,,Flat Top (Geron),set ,2,,,,,,,TTML,,,
,,,,,Stationary Flat BssT-14,Pcs,4,,,,,,,TTML,,,
