Category,Sub_Category,Machine,Model,Product_Code,Product_Name,Unit,Qty,Part_Number,Brand,Product_Type,Import_Type,Country_Of_Orgin,Serial_NO,Store,Rack,Bin,Status
1708000,,,,17.08.155,Copper Gear -75Teeth,Pcs,17,,,,,,,,,,
,,,,17.08.029,Worm Gear-75Teeth,Pcs,2,,,,,,,TTML,,,
,,,,17.08.021,Spar Gear-66Teeth,Pcs,2,,,,,,,TTML,,,
,,,,17.08.147,Spar Gear- 37Teeth,Pcs,3,,,,,,,TTML,,,
,,,,17.08.140,Spar Gear- 21Teeth,Pcs,3,,,,,,,TTML,,,
,,,,17.08.048,Double Spoket wheel -35Teeth,Pcs,1,,,,,,,TTML,,,
,,,,17.08.025,Spoket wheel -28,Pcs,3,P/N-900000317266,,,,,,TTML,,,
,,,,17.08.114,V pully 4Group,Pcs,1,,,,,,,TTML,,,
,,,,17.08.087,Spoket Double wheel -34T,Pcs,2,,,,,,,TTML,,,
,,,,17.08.026,Spoket Single  wheel -41T(p-900000317626,Pcs,1,(p-900000317626,,,,,,TTML,,,
,,,,17.08.089,Double Spoket wheel -69Teeth,Pcs,1,,,,,,,TTML,,,
,,,,17.08.137,Double Spoket wheel -20Teeth,Pcs,1,,,,,,,TTML,,,
,,,,17.08.138,Single Spoket wheel - 23,Pcs,1,,,,,,,TTML,,,
,,,,17.08.122,Clutch Plate- Dia-110mm,Pcs,2,,,,,,,TTML,,,
,,,,17.08.033,Coupling (P/N- 035081760000),Pcs,2,(P/N- 035081760000),,,,,,TTML,,,
,,,,17.08.110,Spike Pin,Pcs,277,,,,,,,TTML,,,
,,,,17.04.053,Air Seal (Size-100x83x8mm),Pcs,16,,,,,,,TTML,,,
,,,,17.08.078,PIV Drive Gear Box.,Pcs,1,P/N-035081761200,,,,,,TTML,,,
,,,,17.08.129,Better For RN,Pcs,2,P/N-908700143005,,,,,,TTML,,,
,,,,17.08.078,Better For RN,Pcs,30,P/N-908700143001,,,,,,TTML,,,
,,,,17.08.079,Middle Ring ,Pcs,1,P/N-937500119014,,,,,,TTML,,,
1800000,,,,18.04.041,Varalor Motor,Pcs,1,P/N-037181770061 0.37kw 1380RPM,,,,,,TTML,,,
,,,,17.02.122,AVF Leqe Brand  Belt,Pcs,2,,,,,,,TTML,,,
,,,,17.08.127,Middle Guide Bar,set,1,P/N-907007700002,,,,,,TTML,,,
,,,,17.08.126,Guide Bar,Pcs,26,P/N-90610773002,,,,,,TTML,,,
,,,,02.07.026,Nylon Shaft-2''x2',Lbs,3.64,,,,,,,TTML,,,
1700000,,,,17.08.131,Guide Bar,Pcs,1,P/N-908707703015,,,,,,TTML,,,
,,,,17.08.044,M.S. Helical Gear-49T,Pcs,1,,,,,,,TTML,,,
,,,,17.08.015,Double Chine Lock,Pcs,10,,,,,,,TTML,,,
,,,,17.08.139,Helical Gear -24T,Pcs,2,,,,,,,TTML,,,
,,,,17.08.045,M.S. Helical Gear-28T,Pcs,1,,,,,,,TTML,,,
,,,,17.08.096,Fiber worn Gear-55T,Pcs,2,,,,,,,TTML,,,
,,,,17.08.097,Brass Warm Gear -21,Pcs,2,,,,,,,TTML,,,
,,,,17.08.116,Helical Spring -Dia-15.22.L-27mm,Pcs,10,,,,,,,TTML,,,
,,,,17.08.092,TC Connector-6x6x6mm,Pcs,3,P/N-03508182311D,,,,,,TTML,,,
,,,,17.08.098,Worm Gear-5T. 9D Dia-1.0mm,Pcs,2,,,,,,,TTML,,,
,,,,17.08.043,Pressure Spring ,Pcs,2,P/N-02508181006,,,,,,TTML,,,
,,,,17.08.034,Volk Rollar Insert,Pcs,3,P/N-03581760404,,,,,,TTML,,,
,,,,17.08.099,Poly Carbonet Glass ,Pcs,1,,,,,,,TTML,,,
,,,,17.07.057,Canvas Cloth ,yard,12,,,,,,,TTML,,,
,,,,17.08.157,Pneumatic Spring ,Pcs,2,P/N-035081810506,,,,,,TTML,,,
,,,,17.08.160,Pneumatic Spring ,Pcs,1,P/N-035081810509,,,,,,TTML,,,
,,,,17.08.156,Pneumatic Spring ,Pcs,2,P/N-035081810505,,,,,,TTML,,,
,,,,17.08.028,Double Spoket wheel -23Tx 5/8'',Pcs,1,,,,,,,TTML,,,
,,,,17.08.022,Single Spoket wheel-15T,Pcs,3,P/N-900900817005,,,,,,TTML,,,
,,,,17.08.019,Tapper Lock Bush-25x7x40mm,Pcs,2,P/N-035081572059,,,,,,TTML,,,
,,,,17.08.020,Super Gear-31T,Pcs,2,P/N-908700312001,,,,,,TTML,,,
,,,,17.08.049,Cylendes for,Pcs,1,(P/N-035094820801),,,,,,TTML,,,
,,,,17.08.093,Teeth Assy. For SME,Pcs,1,P/N-918505025058,,,,,,TTML,,,
,,,,17.08.158,Spike Wooden Legs for SME,Pcs,3,P/N-035081572059,,,,,,TTML,,,
,,,,17.08.159,Rubber Conveyor Belt RSK1600,Pcs,1,P/N-037181271137,,,,,,TTML,,,
,,,,17.08.161,Leather Ring-480x468x15mm,Pcs,2,P/N-035081220604,,,,,,TTML,,,
,,,,17.08.055,Spark kit for Valve,set,2,P/N-035094820670,,,,,,TTML,,,
,,,,17.08.077,Spare Kit for Cylender,set,2,P/N-035094820056,,,,,,TTML,,,
,,,,17.08.162,Spare Kit for Cylender,Pcs,1,P/N-03508820070,,,,,,TTML,,,
,,,,17.08.106,Rubber washer (Big) -48x62x8mm,Pcs,8,,,,,,,TTML,,,
,,,,17.08.016,Non Return Valve SME M-22,Pcs,5,P/N-035081820660,,,,,,TTML,,,
,,,,17.08.069,Way Valve NW 3/2,Pcs,3,P/N-035081820612,,,,,,TTML,,,
,,,,17.08.068,Choke Check Valve M-14,Pcs,2,P/N-035081820670,,,,,,TTML,,,
,,,,17.08.070,Way Valve NW 3/2,Pcs,1,P/N-035081820611,,,,,,TTML,,,
,,,,17.08.105,Plastic Ring -26x18,Pcs,40,,,,,,,TTML,,,
,,,,17.08.007,Plastic Ring for Solonide Valve,Pcs,52,,,,,,,TTML,,,
,,,,17.08.142,Rubber gasket -17x20x205mm,Pcs,3,,,,,,,TTML,,,
,,,,17.08.006,Fiber Ring- 86x69x13mm,Pcs,7,,,,,,,TTML,,,
,,,,17.08.083,MPM 8 Gang Valve,Pcs,1,P/N-033094820804,,,,,,TTML,,,
,,,,17.08.038,Plastic Ring for Solonide Valve-13x16,Pcs,85,,,,,,,TTML,,,
,,,,09.13.001,Grease Nipple for Bearing House-8mm,Pcs,10,,,,,,,TTML,,,
,,,,17.08.013,Nylon Capling ,Pcs,10,,,,,,,TTML,,,
,,,,17.08.075,Filter R ,Pcs,1,p/N-035081821240),,,,,,TTML,,,
,,,,17.08.076,Oiler R 1/2,Pcs,1,,,,,,,TTML,,,
,,,,18.26.059,Presser Gauge ,Pcs,1,,,,,,,TTML,,,
,,,,17.08.054,Spare Kit for Valve,set,1,P/N-35094820680,,,,,,TTML,,,
,,,,17.08.056,Spare Kit for Valve,Pcs,1,P/N-0350948200660,,,,,,TTML,,,
,,,,17.08.059,Spare Kit for Valve,Set,2,P/N-035094820612,,,,,,TTML,,,
,,,,17.04.032,O'' Ring(size-15.5x20.5mm),Pcs,10,,,,,,,TTML,,,
,,,,17.08.062,Spare Kit for Valve,set,2,P/N-035094820510,,,,,,TTML,,,
,,,,17.08.061,Solonide kit for Valve ,set,1,P/N-035094820533,,,,,,TTML,,,
,,,,17.08.060,Slar kit for Valve ,set,1,P/N-035094820611,,,,,,TTML,,,
,,,,,Spiked Latice for Trutzschler GBR,Pcs,1,P/N- 902301500010,,,,,,TTML,,,
,,,,17.02.384,V-Belt (Size- XPB-3000LW,Pcs,1,,,,,,,TTML,,,
,,,,17.02.385,V-Belt (Size- XPB-2240LW,Pcs,1,,,,,,,TTML,,,
,,,,17.02.387,V-Belt (Size- XPA-1632LW,Pcs,1,,,,,,,TTML,,,
,,,,17.02.369,V-Belt (Size- XPA-1750LW,Pcs,2,,,,,,,TTML,,,
,,,,17.02.388,V-Belt (Size- XPA-1550LW,pcs,1,,,,,,,TTML,,,
,,,,,V-Belt (Size- XPA-1600LW,Pcs,1,,,,,,,TTML,,,
,,,,17.2.333,V-Belt (Size- XPA-2310LW,Pcs,1,,,,,,,TTML,,,
,,,,,V-Belt (Size- XPA-1460LW,Pcs,1,,,,,,,TTML,,,
,,,,17.02.298,V-Belt (Size- XPA-1700LW,Pcs,1,,,,,,,TTML,,,
,,,,17.02.186,V-Belt (Size- XPB-1800LW,Pcs,1,,,,,,,TTML,,,
,,,,17.2.390,Timing Belt- 600x8mm,Pcs,1,P/N-035081755801,,,,,,TTML,,,
,,,,17.2.389,Timing Belt- 1600x8Mx30mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.391,Timing Belt- 800xD8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.392,Timing Belt- 720xD8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.2.336,Timing Belt- 1760x8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.2.348,Timing Belt- 1040x8Mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.2.393,Flat Belt- 808x20Mx1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.394,Flat Belt- 920x10Mx1.8mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.395,Flat Belt- 1530x8Mx1.8mm,Pcs,1,,,,,,,TTML,,,
,,,,,Metal Rope SL-86,Pcs,1,,,,,,,TTML,,,
,,,,17.02.396,Timing Belt- 1270xD5mx15mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.397,Timing Belt- 1200xD8mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.398,Timing Belt- 700xD5mx15mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.399,Timing Belt- 1120x8mx20mm,Pcs,1,,,,,,,TTML,,,
,,,,17.03.400,Timing Belt- 1520x8mx20mm,Pcs,2,,,,,,,TTML,,,
,,,,17.02.338,V- Belt - XPA-2310,Pcs,1,,,,,,,TTML,,,
,,,,17.02.401,Flat Belt-1465x15x2mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.402,Flat Belt-1014x20x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,17.02.403,Flat Belt-550x15x1.25mm,Pcs,1,,,,,,,TTML,,,
,,,,,Metal Rop SL-42,Pcs,1,,,,,,,TTML,,,
,,,,,Droffer wire N-4030BX0.9-B,set ,5,,,,,,,TTML,,,
,,,,,Droffer wire TC11 (Graf),,,,,,,,,TTML,,,
,,,,,Droffer wire (MKS) Geron,set ,1,,,,,,,TTML,,,
